hshd_num,basket_num,date,product_num,spend,units,age,income,children,loyalty,department,commodity,brand
239,95677,2019-01-01 00:00:00,1071,90.91,3,44,119780,2,Yes,Snacks,Organic,National
377,12837,2019-01-01 01:00:00,1075,57.96,3,32,57355,3,Yes,Snacks,Organic,National
266,50077,2019-01-01 02:00:00,1073,7.89,3,33,92856,1,Yes,Snacks,Organic,Private
359,89915,2019-01-01 03:00:00,1013,58.39,1,41,108859,1,No,Dairy,Regular,National
340,14239,2019-01-01 04:00:00,1072,15.36,3,56,121362,1,Yes,Grocery,Organic,Private
389,96348,2019-01-01 05:00:00,1093,4.11,1,49,127007,3,No,Dairy,Regular,National
65,39669,2019-01-01 06:00:00,1068,12.54,1,42,102789,0,Yes,Dairy,Regular,National
177,58624,2019-01-01 07:00:00,1064,77.74,3,37,113042,2,No,Dairy,Regular,National
3,85147,2019-01-01 08:00:00,1064,75.81,3,39,117235,3,No,Dairy,Regular,National
142,14150,2019-01-01 09:00:00,1056,60.83,3,56,122658,1,No,Beverages,Organic,Private
376,21109,2019-01-01 10:00:00,1061,21.72,1,25,63307,2,No,Grocery,Organic,National
158,36016,2019-01-01 11:00:00,1019,74.16,2,46,112745,2,Yes,Dairy,Regular,Private
324,21936,2019-01-01 12:00:00,1074,41.4,3,59,112848,2,No,Dairy,Regular,National
146,21036,2019-01-01 13:00:00,1025,51.56,2,54,124297,1,No,Beverages,Regular,Private
293,49236,2019-01-01 14:00:00,1043,89.87,2,60,56790,1,No,Dairy,Organic,National
153,24021,2019-01-01 15:00:00,1066,46.33,2,53,95953,0,No,Snacks,Organic,National
193,46943,2019-01-01 16:00:00,1069,63.01,4,48,73286,1,No,Dairy,Organic,National
73,91007,2019-01-01 17:00:00,1061,96.21,2,39,81293,1,No,Grocery,Organic,National
399,60016,2019-01-01 18:00:00,1044,45.69,2,68,80990,0,Yes,Dairy,Organic,National
305,33244,2019-01-01 19:00:00,1010,56.51,1,36,33709,0,No,Beverages,Organic,Private
377,73027,2019-01-01 20:00:00,1071,58.86,4,32,57355,3,Yes,Snacks,Organic,National
344,48985,2019-01-01 21:00:00,1092,24.83,1,42,144065,1,No,Beverages,Regular,Private
140,11502,2019-01-01 22:00:00,1073,73.96,1,66,42161,0,No,Snacks,Organic,Private
187,63836,2019-01-01 23:00:00,1033,72.94,2,66,62479,0,No,Dairy,Organic,Private
293,13770,2019-01-02 00:00:00,1087,22.14,1,60,56790,1,No,Grocery,Organic,National
61,52865,2019-01-02 01:00:00,1045,2.32,3,30,148937,0,No,Grocery,Regular,Private
380,63811,2019-01-02 02:00:00,1080,99.9,2,36,50159,2,Yes,Grocery,Regular,Private
198,14001,2019-01-02 03:00:00,1031,58.58,3,27,141888,2,Yes,Grocery,Regular,National
295,70848,2019-01-02 04:00:00,1074,18.92,2,28,55289,1,No,Dairy,Regular,National
319,62635,2019-01-02 05:00:00,1097,29.07,2,52,129518,2,No,Grocery,Regular,National
302,30946,2019-01-02 06:00:00,1087,62.16,2,27,34748,1,No,Grocery,Organic,National
344,76134,2019-01-02 07:00:00,1004,14.62,4,42,144065,1,No,Dairy,Organic,Private
11,53744,2019-01-02 08:00:00,1062,4.69,2,35,69734,0,No,Grocery,Regular,Private
62,49159,2019-01-02 09:00:00,1028,80.05,3,66,97215,3,Yes,Snacks,Regular,National
333,33671,2019-01-02 10:00:00,1047,71.87,2,61,133214,1,Yes,Dairy,Organic,Private
226,26450,2019-01-02 11:00:00,1097,31.65,2,40,116900,1,No,Grocery,Regular,National
153,24908,2019-01-02 12:00:00,1015,6.79,1,53,95953,0,No,Beverages,Regular,Private
199,67275,2019-01-02 13:00:00,1024,49.14,2,61,140448,0,Yes,Beverages,Organic,National
52,54358,2019-01-02 14:00:00,1071,28.34,2,68,43500,2,No,Snacks,Organic,National
260,59047,2019-01-02 15:00:00,1028,40.38,2,26,74261,2,No,Snacks,Regular,National
59,45518,2019-01-02 16:00:00,1051,28.12,2,28,103666,2,Yes,Dairy,Regular,National
72,67813,2019-01-02 17:00:00,1045,18.35,2,55,108832,2,No,Grocery,Regular,Private
148,16806,2019-01-02 18:00:00,1024,39.31,2,47,118668,2,No,Beverages,Organic,National
349,50891,2019-01-02 19:00:00,1022,96.52,4,64,82638,2,Yes,Dairy,Organic,National
63,93551,2019-01-02 20:00:00,1033,27.36,3,28,99042,1,Yes,Dairy,Organic,Private
310,49220,2019-01-02 21:00:00,1066,34.26,4,62,55470,1,Yes,Snacks,Organic,National
373,27158,2019-01-02 22:00:00,1093,33.59,3,60,114665,0,No,Dairy,Regular,National
243,90992,2019-01-02 23:00:00,1033,48.55,4,57,118461,1,Yes,Dairy,Organic,Private
366,37588,2019-01-03 00:00:00,1031,84.51,2,66,96203,3,No,Grocery,Regular,National
330,72576,2019-01-03 01:00:00,1028,40.81,4,30,141276,3,No,Snacks,Regular,National
107,98027,2019-01-03 02:00:00,1008,80.81,3,63,81991,1,No,Dairy,Regular,Private
226,34188,2019-01-03 03:00:00,1065,12.39,1,40,116900,1,No,Beverages,Regular,Private
