HSHD_NUM,BASKET_NUM,DATE,PRODUCT_NUM,SPEND,UNITS
239,95677,2019-01-01 00:00:00,1071,90.91,3
377,12837,2019-01-01 01:00:00,1075,57.96,3
266,50077,2019-01-01 02:00:00,1073,7.89,3
359,89915,2019-01-01 03:00:00,1013,58.39,1
340,14239,2019-01-01 04:00:00,1072,15.36,3
389,96348,2019-01-01 05:00:00,1093,4.11,1
65,39669,2019-01-01 06:00:00,1068,12.54,1
177,58624,2019-01-01 07:00:00,1064,77.74,3
3,85147,2019-01-01 08:00:00,1064,75.81,3
142,14150,2019-01-01 09:00:00,1056,60.83,3
376,21109,2019-01-01 10:00:00,1061,21.72,1
158,36016,2019-01-01 11:00:00,1019,74.16,2
324,21936,2019-01-01 12:00:00,1074,41.4,3
146,21036,2019-01-01 13:00:00,1025,51.56,2
293,49236,2019-01-01 14:00:00,1043,89.87,2
153,24021,2019-01-01 15:00:00,1066,46.33,2
193,46943,2019-01-01 16:00:00,1069,63.01,4
73,91007,2019-01-01 17:00:00,1061,96.21,2
399,60016,2019-01-01 18:00:00,1044,45.69,2
305,33244,2019-01-01 19:00:00,1010,56.51,1
377,73027,2019-01-01 20:00:00,1071,58.86,4
344,48985,2019-01-01 21:00:00,1092,24.83,1
140,11502,2019-01-01 22:00:00,1073,73.96,1
187,63836,2019-01-01 23:00:00,1033,72.94,2
293,13770,2019-01-02 00:00:00,1087,22.14,1
61,52865,2019-01-02 01:00:00,1045,2.32,3
380,63811,2019-01-02 02:00:00,1080,99.9,2
198,14001,2019-01-02 03:00:00,1031,58.58,3
295,70848,2019-01-02 04:00:00,1074,18.92,2
319,62635,2019-01-02 05:00:00,1097,29.07,2
302,30946,2019-01-02 06:00:00,1087,62.16,2
344,76134,2019-01-02 07:00:00,1004,14.62,4
11,53744,2019-01-02 08:00:00,1062,4.69,2
62,49159,2019-01-02 09:00:00,1028,80.05,3
333,33671,2019-01-02 10:00:00,1047,71.87,2
226,26450,2019-01-02 11:00:00,1097,31.65,2
153,24908,2019-01-02 12:00:00,1015,6.79,1
199,67275,2019-01-02 13:00:00,1024,49.14,2
52,54358,2019-01-02 14:00:00,1071,28.34,2
260,59047,2019-01-02 15:00:00,1028,40.38,2
59,45518,2019-01-02 16:00:00,1051,28.12,2
72,67813,2019-01-02 17:00:00,1045,18.35,2
148,16806,2019-01-02 18:00:00,1024,39.31,2
349,50891,2019-01-02 19:00:00,1022,96.52,4
63,93551,2019-01-02 20:00:00,1033,27.36,3
310,49220,2019-01-02 21:00:00,1066,34.26,4
373,27158,2019-01-02 22:00:00,1093,33.59,3
243,90992,2019-01-02 23:00:00,1033,48.55,4
366,37588,2019-01-03 00:00:00,1031,84.51,2
330,72576,2019-01-03 01:00:00,1028,40.81,4
107,98027,2019-01-03 02:00:00,1008,80.81,3
226,34188,2019-01-03 03:00:00,1065,12.39,1
313,68830,2019-01-03 04:00:00,1056,89.6,1
218,14019,2019-01-03 05:00:00,1038,19.35,2
241,22419,2019-01-03 06:00:00,1006,4.88,2
259,43697,2019-01-03 07:00:00,1068,16.68,3
376,94932,2019-01-03 08:00:00,1007,19.88,1
262,17973,2019-01-03 09:00:00,1095,51.34,2
5,96649,2019-01-03 10:00:00,1017,45.54,4
261,21136,2019-01-03 11:00:00,1081,71.87,4
54,94739,2019-01-03 12:00:00,1048,6.04,1
47,72502,2019-01-03 13:00:00,1015,50.27,3
215,41285,2019-01-03 14:00:00,1020,33.91,2
177,33039,2019-01-03 15:00:00,1009,63.44,2
9,76720,2019-01-03 16:00:00,1003,5.33,2
99,98263,2019-01-03 17:00:00,1043,4.46,1
20,69155,2019-01-03 18:00:00,1007,43.3,4
378,26911,2019-01-03 19:00:00,1054,81.32,3
241,10916,2019-01-03 20:00:00,1018,67.44,1
61,69052,2019-01-03 21:00:00,1063,2.65,1
379,79110,2019-01-03 22:00:00,1039,18.67,2
178,27790,2019-01-03 23:00:00,1050,23.45,4
338,93161,2019-01-04 00:00:00,1008,42.88,3
62,15206,2019-01-04 01:00:00,1029,59.08,3
145,95053,2019-01-04 02:00:00,1055,22.43,2
216,59950,2019-01-04 03:00:00,1080,38.87,3
3,66361,2019-01-04 04:00:00,1043,58.81,4
160,71451,2019-01-04 05:00:00,1058,38.96,2
227,47696,2019-01-04 06:00:00,1014,15.17,2
269,91641,2019-01-04 07:00:00,1067,49.67,4
120,78226,2019-01-04 08:00:00,1069,33.08,3
381,56728,2019-01-04 09:00:00,1060,86.55,4
89,65401,2019-01-04 10:00:00,1079,77.79,3
329,76226,2019-01-04 11:00:00,1089,19.84,3
68,35103,2019-01-04 12:00:00,1022,16.11,3
398,44263,2019-01-04 13:00:00,1076,35.42,4
357,86621,2019-01-04 14:00:00,1046,41.81,4
98,60044,2019-01-04 15:00:00,1016,93.27,1
267,67730,2019-01-04 16:00:00,1056,30.86,4
105,35825,2019-01-04 17:00:00,1053,86.89,2
323,86256,2019-01-04 18:00:00,1090,51.03,2
123,47271,2019-01-04 19:00:00,1051,88.68,2
29,87256,2019-01-04 20:00:00,1021,70.49,2
137,56732,2019-01-04 21:00:00,1082,71.13,1
195,76433,2019-01-04 22:00:00,1038,52.36,4
226,92630,2019-01-04 23:00:00,1098,84.19,4
332,33572,2019-01-05 00:00:00,1012,26.19,3
170,48546,2019-01-05 01:00:00,1077,90.83,4
9,25150,2019-01-05 02:00:00,1094,64.04,3
40,64165,2019-01-05 03:00:00,1065,44.43,3
25,73690,2019-01-05 04:00:00,1051,98.24,2
261,63664,2019-01-05 05:00:00,1013,86.34,1
395,92335,2019-01-05 06:00:00,1072,77.43,1
226,85199,2019-01-05 07:00:00,1073,28.12,4
124,46948,2019-01-05 08:00:00,1062,97.4,3
38,47030,2019-01-05 09:00:00,1070,74.56,2
328,37007,2019-01-05 10:00:00,1027,60.92,3
251,86772,2019-01-05 11:00:00,1088,92.26,2
389,32024,2019-01-05 12:00:00,1045,17.06,3
176,49384,2019-01-05 13:00:00,1027,14.76,4
90,92912,2019-01-05 14:00:00,1001,56.81,4
37,28157,2019-01-05 15:00:00,1016,6.61,3
316,95481,2019-01-05 16:00:00,1058,66.73,1
176,98553,2019-01-05 17:00:00,1051,24.83,2
284,11756,2019-01-05 18:00:00,1003,12.78,1
81,78112,2019-01-05 19:00:00,1076,41.54,1
114,68051,2019-01-05 20:00:00,1081,47.13,3
40,74595,2019-01-05 21:00:00,1002,17.88,2
301,88210,2019-01-05 22:00:00,1036,5.11,2
224,53094,2019-01-05 23:00:00,1096,41.99,4
318,97889,2019-01-06 00:00:00,1023,76.19,3
349,14535,2019-01-06 01:00:00,1071,87.55,3
115,66035,2019-01-06 02:00:00,1034,10.66,3
186,57367,2019-01-06 03:00:00,1001,52.94,4
323,27118,2019-01-06 04:00:00,1032,27.08,4
56,69812,2019-01-06 05:00:00,1075,38.09,2
40,69884,2019-01-06 06:00:00,1085,93.41,4
354,76168,2019-01-06 07:00:00,1076,35.86,3
40,23280,2019-01-06 08:00:00,1009,37.17,3
347,24746,2019-01-06 09:00:00,1080,21.73,1
237,63251,2019-01-06 10:00:00,1061,96.04,4
289,94821,2019-01-06 11:00:00,1042,46.19,3
262,93583,2019-01-06 12:00:00,1068,57.47,3
216,20207,2019-01-06 13:00:00,1058,45.86,2
147,81127,2019-01-06 14:00:00,1008,26.04,4
336,37757,2019-01-06 15:00:00,1076,81.23,3
168,26226,2019-01-06 16:00:00,1059,3.82,2
92,71407,2019-01-06 17:00:00,1062,69.33,1
353,37206,2019-01-06 18:00:00,1051,59.83,1
59,30256,2019-01-06 19:00:00,1022,15.28,2
59,43822,2019-01-06 20:00:00,1029,17.42,4
304,51340,2019-01-06 21:00:00,1042,66.26,3
169,62234,2019-01-06 22:00:00,1067,31.9,4
269,53351,2019-01-06 23:00:00,1020,27.31,2
363,58671,2019-01-07 00:00:00,1042,6.86,3
45,85320,2019-01-07 01:00:00,1072,76.88,3
345,45157,2019-01-07 02:00:00,1006,88.38,3
181,29937,2019-01-07 03:00:00,1015,82.16,4
170,64290,2019-01-07 04:00:00,1022,47.14,4
356,56707,2019-01-07 05:00:00,1057,53.86,2
191,21219,2019-01-07 06:00:00,1086,24.99,1
155,19399,2019-01-07 07:00:00,1030,18.11,2
188,37657,2019-01-07 08:00:00,1068,82.48,3
7,30047,2019-01-07 09:00:00,1005,80.04,2
133,86095,2019-01-07 10:00:00,1064,77.96,1
235,95693,2019-01-07 11:00:00,1058,46.87,2
45,82154,2019-01-07 12:00:00,1027,86.59,1
314,54891,2019-01-07 13:00:00,1017,92.7,1
249,16780,2019-01-07 14:00:00,1087,33.51,3
31,37050,2019-01-07 15:00:00,1076,23.24,1
23,83551,2019-01-07 16:00:00,1096,46.96,4
394,78666,2019-01-07 17:00:00,1009,18.75,2
160,92016,2019-01-07 18:00:00,1006,88.52,2
363,63010,2019-01-07 19:00:00,1036,34.46,4
158,48165,2019-01-07 20:00:00,1095,58.04,4
39,21528,2019-01-07 21:00:00,1044,59.88,3
82,59608,2019-01-07 22:00:00,1085,51.98,2
356,15914,2019-01-07 23:00:00,1015,16.5,4
258,47136,2019-01-08 00:00:00,1087,99.11,3
206,21179,2019-01-08 01:00:00,1013,18.09,2
77,96008,2019-01-08 02:00:00,1010,75.4,2
12,22076,2019-01-08 03:00:00,1082,79.34,4
295,34783,2019-01-08 04:00:00,1086,15.37,1
224,56716,2019-01-08 05:00:00,1033,93.38,1
13,60298,2019-01-08 06:00:00,1059,49.29,4
46,64304,2019-01-08 07:00:00,1012,63.26,1
155,89360,2019-01-08 08:00:00,1038,64.58,2
113,79835,2019-01-08 09:00:00,1043,50.99,3
233,18118,2019-01-08 10:00:00,1027,15.06,3
17,86292,2019-01-08 11:00:00,1039,75.42,4
360,66911,2019-01-08 12:00:00,1015,58.6,3
223,83489,2019-01-08 13:00:00,1049,12.75,4
354,25185,2019-01-08 14:00:00,1027,70.33,1
188,51792,2019-01-08 15:00:00,1067,70.57,2
344,90210,2019-01-08 16:00:00,1091,55.3,1
365,60613,2019-01-08 17:00:00,1059,9.96,4
163,43927,2019-01-08 18:00:00,1011,35.91,2
326,10386,2019-01-08 19:00:00,1015,6.04,2
74,82728,2019-01-08 20:00:00,1052,48.28,2
233,86281,2019-01-08 21:00:00,1053,90.74,1
224,40020,2019-01-08 22:00:00,1048,1.22,2
319,52678,2019-01-08 23:00:00,1035,27.4,1
60,96695,2019-01-09 00:00:00,1061,80.19,1
335,71394,2019-01-09 01:00:00,1083,1.98,2
222,78945,2019-01-09 02:00:00,1025,2.01,4
37,66414,2019-01-09 03:00:00,1055,61.47,2
278,64816,2019-01-09 04:00:00,1089,79.13,2
196,65918,2019-01-09 05:00:00,1021,77.87,1
352,72694,2019-01-09 06:00:00,1072,78.18,2
242,39455,2019-01-09 07:00:00,1068,36.74,4
324,48735,2019-01-09 08:00:00,1080,88.39,2
219,22109,2019-01-09 09:00:00,1048,2.27,4
192,55802,2019-01-09 10:00:00,1097,31.91,3
17,78020,2019-01-09 11:00:00,1001,34.38,3
12,44622,2019-01-09 12:00:00,1052,17.39,3
394,12597,2019-01-09 13:00:00,1006,34.29,2
374,50597,2019-01-09 14:00:00,1099,59.0,1
193,50954,2019-01-09 15:00:00,1076,52.51,4
22,79519,2019-01-09 16:00:00,1019,32.62,3
120,66115,2019-01-09 17:00:00,1093,75.18,4
210,53151,2019-01-09 18:00:00,1029,71.76,1
306,27040,2019-01-09 19:00:00,1074,28.79,4
270,54772,2019-01-09 20:00:00,1094,33.0,4
192,73832,2019-01-09 21:00:00,1066,29.46,3
175,37916,2019-01-09 22:00:00,1058,13.76,4
285,54871,2019-01-09 23:00:00,1065,75.53,3
204,36372,2019-01-10 00:00:00,1002,5.58,1
164,71707,2019-01-10 01:00:00,1055,15.91,3
